date,events,geometry
2025-09-14,1,"c(-120.722500000081, 35.4375000003528)"
2025-09-22,1,"c(-122.253999999633, 37.8629999998453)"
2025-10-17,1,"c(-165.732100000001, 53.5756999998593)"
2025-10-19,1,"c(143.111900000378, 12.6920000003417)"
2025-10-20,1,"c(-176.996100000042, 51.2760000001516)"
2025-10-23,1,"c(-160.202299999899, 54.7288000001264)"
2025-10-24,4,"c(-151.242799999561, -159.809499999752, 143.320499999664, 144.119300000152, 61.8835999998841, 54.588900000212, 11.8141000001825, 12.3245999998051)"
2025-10-25,1,"c(-176.124499999821, 51.530499999785)"
2025-10-29,2,"c(-129.537400000138, -129.82089999978, 44.4927000002539, 44.5970000002149)"
2025-10-30,1,"c(-150.232799999571, 59.6308000002008)"
2025-11-02,1,"c(178.218699999648, 51.1947999998851)"
2025-11-04,1,"c(143.136299999701, 12.3860000004207)"
2025-11-05,2,"c(-168.364999999915, 144.80670000041, 52.8565000001367, 13.5276000001836)"
2025-11-06,5,"c(-146.841899999849, -151.137100000251, -150.948099999891, -66.3986666667957, -64.4214999996508, 64.4908000000788, 57.3463000001861, 61.0207999998749, 18.6733333329705, 18.8315000000878)"
2025-11-07,3,"c(-153.416999999716, -171.385500000444, -67.8856666667094, 60.3031999998145, 52.1388999999225, 18.2014999995915)"
2025-11-08,6,"c(-110.848000000424, -127.185100000076, -160.143100000393, -104.45599999998, -102.043999999921, -64.3539999999072, 44.7968333332232, 43.4569999999161, 54.4269000000749, 31.6520000003619, 32.4090000001344, 18.7459999999078)"
2025-11-09,12,"c(-126.871399999733, -154.904700000137, -175.252400000008, -171.42370000001, -171.409099999701, -171.471999999962, -171.355800000233, 144.847999999784, -121.952500000299, -121.945000000128, -65.9386666664804, -67.658333333439, 43.4164000001024, 57.7736000000798, 51.5405999999502, 52.0586999998294, 52.169900000172, 52.1886999999803, 52.0370999998377, 13.7453999996687, 37.757500000064, 37.7609999999902, 19.7179999997496, 19.2853333336872)"
2025-11-10,10,"c(-110.843333333371, -125.011001586803, -153.202700000407, -153.943899999725, -152.703800000019, -147.692900000163, -149.694599999975, -156.693800000332, -171.404900000252, 174.793399999776, 44.8028333333612, 40.3883323672538, 58.8202999999197, 60.2262999998969, 60.0729000001386, 62.3087999999105, 62.1711999999951, 58.979200000171, 52.0866999997776, 51.1996000002502)"
2025-11-11,2,"c(-127.620300000136, -66.0656666671025, 43.3843000002787, 17.8403333336102)"
2025-11-12,5,"c(-127.853899999694, -150.7153000004, -157.391599999653, -160.100600000022, -66.0158333336901, 44.1039999999994, 61.0742999999857, 55.5918999999656, 54.5233000000156, 19.3588333333894)"
