mag_bin,events,geometry
3.0–3.9,35,"c(-19082798.9939, -19080706.1875, -19075240.4005, -17827048.3461, -17822317.2677, -17443074.0265, -17243912.3255, -17136956.5587, -17054446.5522, -16998909.2582, -16777550.4508, -16663926.6465, -16441098.4218, -14247982.0017, -14206626.8109, -14158180.5685, -14123259.6442, -13929519.2025, -13916161.0402, -13608510.8975, -13575690.201, -13574855.3048, -13438767.2273, -12339542.9155, -12339023.4245, -11627988.7303, -11359486.1185, -7634179.3591, -7589558.7966, -7531691.2146, -7485883.2441, -7354396.3723, 
-7348848.951, -7340258.7969, -7163854.5105, 6810746.13410001, 6815817.1331, 6806836.392, 7251424.2215, 7269892.6516, 8175892.5653, 7919907.5845, 8450294.3504, 8141647.7741, 8415986.1863, 8642903.5759, 8899851.7112, 8932738.3848, 4983048.0778, 5370650.3652, 5381792.6311, 5375568.47830001, 5019030.6214, 4922535.1938, 4590969.0063, 4545225.1091, 4545717.9282, 4223495.7384, 5589593.5594, 5590534.8539, 3717716.4066, 3817118.7871, 2042465.1568, 2032457.5738, 2188558.2658, 2055542.8206, 2018868.2742, 2197228.6198, 
2239653.9079, 2125054.2338)"
4.0–4.9,373,"c(-20033589.8967, -20017259.3274, -20007708.1151, -19992691.1158, -19972653.6075, -19939591.7187, -19930418.9926, -19927903.1722, -19889909.8299, -19884165.7442, -19875349.2406, -19856235.684, -19852740.252, -19849779.1535, -19822706.2534, -19816772.9245, -19789555.309, -19767258.015, -19748433.8891, -19731691.4377, -19710696.5817, -19608772.4559, -19513171.2773, -19509286.227, -19459036.6089, -19426909.8038, -19302332.1617, -19088175.7253, -19081173.7293, -17833638.4599, -17789912.1639, -17520752.7671, 
-16836271.4821, -14451596.4823, -14309430.3606, -14232631.0439, -13609253.0274, -12457151.9575, -12455738.1999, -12455326.3178, -12091133.4717, -10513279.8773, -10476666.8968, -10419470.9424, -10219619.0606, -10215400.0519, -10187458.8597, -10146259.5161, -10068825.6784, -9876120.5078, -9873560.1596, -9489986.5901, -9249536.49, -9239306.2288, -9231591.7881, -9212867.8497, -9167961.5672, -9152554.9496, -9114327.8365, -8846392.9541, -8639360.9651, -8477435.6338, -8261275.4466, -8232877.8445, -8168691.0261, 
-8100285.199, -7998205.226, -7949280.3098, -7949079.9347, -7925958.8764, -7869542.1585, -7843604.7171, -7815708.0527, -7786341.9711, -7784004.2618, -7762308.093, -7734277.8452, -7705791.1875, -7697252.9826, -7692143.418, -7684607.0884, -7650053.5185, -7635982.7349, -7628913.9472, -7623548.3477, -7606349.4864, -7603277.0685, -7506306.66, -7415024.6776, -7388174.4164, -7062754.149, -6925296.8417, -6901140.5122, -6875704.0086, -6875002.6958, -6869280.874, -6850623.7273, -6656482.5354, -6646998.1148, 
-6646853.3994, -6645751.3365, -6642589.8629, -6638983.1114, -6636500.6868, -6635242.7765, -6633829.019, -6633328.0813, -6630801.1288, -6628340.9681, -6512179.0795, -6500568.4566, -4747631.567, -3878259.7397, -2868970.4445, -2792694.3294, -2662005.2472, 734185.437600002, 1788047.057, 1795527.7268, 2555617.2099, 2668662.1528, 2896299.3795, 3118548.7429, 3123892.0784, 3126675.0657, 3128545.2332, 3129057.3028, 3129313.3376, 3130571.2479, 3132352.3597, 3140166.988, 3141736.5928, 3143818.2673, 3143974.1146, 
3144308.073, 3610024.2947, 3616391.7696, 3618362.1246, 4426998.0377, 4438998.2788, 5058224.0783, 5769889.5829, 7758556.6262, 7760515.8492, 7792753.9737, 7810509.4325, 7884848.5885, 8114934.844, 8126066.7931, 8135417.6303, 8405244.944, 8664240.8713, 9067306.4836, 9296813.8778, 9733141.7539, 9760626.5361, 9849593.0732, 10224183.1597, 10417311.3443, 10554557.1445, 10613333.8356, 10631857.3989, 10681494.7598, 10740471.8261, 11085885.074, 11441283.6803, 11732918.4823, 12126121.1877, 13112178.1052, 13332011.8356, 
13349800.6902, 13379022.0566, 13419920.8375, 13420087.8167, 13567474.8225, 13595182.2438, 13598622.0161, 13680107.8833, 13686709.1291, 13693711.1251, 13724067.9502, 13795356.9521, 13810373.9515, 13843669.6112, 13850738.3988, 13934472.9198, 13946116.9385, 14001598.5727, 14007999.4435, 14018552.5312, 14021213.067, 14050812.9196, 14065184.2659, 14080034.286, 14093336.9651, 14094394.5003, 14102710.0662, 14120888.5391, 14124339.4433, 14131074.2725, 14139534.5538, 14146347.3066, 14154495.8933, 14157145.2972, 
14159861.4928, 14163946.9181, 14173320.0192, 14175613.2007, 14177127.1458, 14179064.105, 14194804.681, 14200548.7667, 14410775.6251, 14498105.7656, 14501367.4267, 14508269.2351, 14557773.0126, 14634650.253, 14643043.7426, 14665151.7935, 14671441.3447, 14689452.8383, 14739323.9702, 14829526.1536, 15461676.1459, 15467854.3777, 15468121.5445, 15471316.4138, 15473019.602, 15477906.5277, 15480800.8345, 15485799.0796, 15511335.7708, 15513951.7788, 15519940.7674, 15540145.255, 15554661.3166, 15573062.4284, 
15583604.3842, 15600168.7244, 15650763.433, 15694077.8469, 15711766.514, 15766168.3491, 15767470.7871, 15788966.5808, 15806421.477, 15809872.3812, 15848144.0221, 15879781.0214, 15893874.0689, 15901644.1694, 15931143.8345, 15931466.661, 15933615.1272, 15935184.732, 15936509.4339, 15938780.3515, 15939949.2062, 15947897.4178, 15949210.9878, 15950702.669, 15953463.3924, 15954064.5176, 15954365.0802, 15962357.8197, 15963248.3756, 15964573.0775, 15966265.1338, 15967088.898, 15968591.7112, 15973300.5256, 
15973701.2758, 15974814.4707, 15975048.2416, 15975415.5959, 15979501.0213, 15980892.5149, 15981193.0775, 15986413.9616, 15987315.6495, 15993560.6729, 15993783.3119, 15994696.1318, 16043287.0895, 16119808.1075, 16257933.3316, 16434942.4539, 16528473.0901, 16622493.532, 16801038.8633, 17057129.3519, 17180705.1186, 17343198.1793, 17353150.1418, 17373365.7613, 17427800.9923, 17508340.6439, 17593856.2767, 17624190.838, 17644272.8741, 17656696.1293, 17660147.0335, 17665445.8413, 17675976.6651, 17696548.507, 
17712044.1801, 17712077.576, 17712099.8399, 17715840.1748, 17718355.9952, 17728185.5063, 17731959.237, 17737514.0796, 17741232.1506, 17748779.6121, 17749859.4111, 17770809.7393, 17771032.3783, 17779704.1666, 17781362.827, 17785837.8706, 17789711.7888, 17790257.2543, 17798684.1398, 17803081.2597, 17807433.8518, 17814435.8477, 17814858.8618, 17818777.3079, 17819756.9194, 17822762.5457, 17827104.0058, 17827348.9087, 17830198.6876, 17830632.8337, 17833849.9669, 17835965.0373, 17837901.9964, 17840250.8377, 
17840462.3447, 17847575.6602, 17853342.0098, 17853586.9127, 17855958.0178, 17859253.0747, 17860911.7352, 17863427.5556, 17871976.8925, 17886248.0513, 17898637.9106, 17991033.0879, 18001541.6479, 18077283.4294, 18275164.9562, 18507767.0323, 18578699.8118, 18609624.3663, 18693826.4292, 18820508.0097, 18840089.1081, 18883091.8274, 19090847.3931, 19432308.7991, 19457912.282, 19489226.4548, 19546645.0481, 19613091.6522, 19821426.0792, 19839214.9338, 20013808.4232, 20018840.0642, 20034424.7929, -2694613.3763, 
-3270625.9007, -2653341.0005, -2545825.5807, -2052547.8855, -4078970.4813, -2169540.3594, -2430578.2244, -2361426.9839, -1991003.7862, -3389450.1738, -2338836.058, -2079471.2235, -2024068.981, -3736876.489, -2332916.3961, -2107182.0695, -2285912.3899, -1685616.2365, -1848260.5958, -2957191.6132, -2743601.8975, -2489148.3548, 6714494.057, -2131273.8956, -1912794.5114, -1860214.4579, 6834317.0128, 6830904.0446, 7309408.632, 7282485.3239, 7477599.7609, 8831595.0059, 5558298.94750001, -7432696.9039, 
5481550.5537, 4560090.3442, 3240037.8589, 3243225.8884, 3263707.5942, -4137738.279, 1904057.3819, 1974123.0669, 1905953.4276, 1578301.1597, 1616022.1978, -5021417.1362, -5050589.8748, 1618182.6299, 1460623.4176, 1461594.5698, 1926844.0551, 372776.120000001, 990560.565200001, 372909.931700002, 932240.557100002, 831272.890700001, 862144.691500001, -5500048.1181, -951754.271299999, -146598.411499999, -966502.322499998, -1763624.8708, -4427516.1165, -1823514.0882, -1795332.8341, 1279509.2594, -2088422.3174, 
-3595804.4662, -1844165.2416, -1963471.5378, -4010461.2924, -3787251.0424, -2158668.4321, -4525306.564, -3812451.9624, -3626491.0366, -2200705.7223, -2201520.0216, -2191833.2746, -2350371.8678, -2885033.2415, -2504143.0248, -2676352.6912, -2432550.0982, -3661001.9565, -7802134.8341, -2793097.7289, -2686081.0456, -3700140.3194, -2856043.6543, -8368944.5621, -8443057.0849, 1181736.6223, -8263064.1502, -6826295.1963, -8285434.5302, 1862385.4029, 1850325.9564, 1864324.3386, 1850813.3162, 1847030.7515, 
1868957.5643, 1868330.4552, 1850906.1478, 1860713.6406, 1861166.3973, 1871547.4791, 1869747.2824, 8478144.6985, 8444647.328, 1187738.6312, 6924557.0513, -8164366.6723, -8124273.148, -7711892.344, 12206192.0576, 6704588.1266, 6731239.9205, 4228880.298, 4906437.6935, 4093856.491, 4752572.9081, 4764764.32690001, 4751294.2385, 4760564.6733, 4763138.9108, 4759227.4799, 4742807.4046, 4758983.06590001, 4741472.5621, 4741242.9296, 4745463.2608, 4739793.4946, 4755231.3355, 4142443.8147, 4124026.2301, 4127141.1298, 
1576545.617, 1073476.9051, 4053468.2871, 5020029.4418, 4492277.1239, 4488663.3911, 4488201.25910001, 3517594.2223, 4080305.7765, 4418121.9157, 4407568.5598, 4413977.1897, 4621751.0194, 4340474.3497, 5108962.6407, 5476451.6728, 3310538.5861, 5142557.46, 5125528.9168, 901198.453700002, 2509772.4208, 595140.841800001, 2885487.9902, 2853492.3801, 442303.589900002, 489606.846700002, 3414484.974, -508231.781399999, -846363.806699999, -912015.757199999, 364067.558800001, 2042898.3431, 1798076.4781, 1890068.9091, 
2110024.5642, 2106406.9138, -757713.282699998, 2854547.1819, 2292694.4502, 446309.66, 2001482.2229, 2669042.105, -880043.535599999, -1004093.8168, 442203.161400001, 1267269.0578, 2888106.1351, 556165.470100001, -22074.6990999989, -764540.968199998, 145674.2172, -400478.721799999, 603560.2366, 1088823.0909, 128916.747300003, 1012423.3298, 892789.275000002, 3179693.7803, 816175.377500001, 745999.476800002, 816747.764800001, 841883.203100003, 638602.159500003, 192823.591900002, 658340.505200002, 761603.499600001, 
794272.404800002, -969970.545199998, -6300249.5734, 696414.0317, 848194.348000001, 207068.3543, -678801.614799999, -831991.400199998, -805076.840499997, 3082850.8944, -715286.352399997, -697578.673899997, -844656.861199997, -786846.373199999, -690020.108599998, 3420677.7476, 3760869.33570001, 3769665.5574, -726231.784899998, -701363.921599999, -236017.7698, -236864.379299998, -248160.337499999, -283245.310799997, -221325.287899997, -245508.9494, 3485091.8895, -242946.7238, 4382124.98490001, -224288.193299998, 
-316522.095899999, -238546.471099999, -299136.0207, 4348335.4777, 4267359.7164, 4263108.0094, 1340598.9245, 4132872.1006, 4448659.1097, 4338071.5644, 3588697.8285, 4452301.023, 4481313.698, 4745262.2527, 5170586.1546, 6689751.7576, 10330110.2347, 3268239.4425, 1424565.6436, 4798641.3565, 4810180.7461, 3201073.0283, 4815254.2, 4800777.8122, 4820402.5572, 4807031.0071, 4773759.2035, 4793619.5926, 4785457.3779, 4762635.5165, 1324559.0472, 4791686.5954, 4798713.5267, 4781148.2145, 4834617.7018, 4793186.79960001, 
4832778.1461, 4868674.6205, 4866625.2942, 4766548.2713, 4799276.4714, 4797039.3137, 4794990.2268, 4777460.2318, 3412200.1372, 4825177.2819, 4862411.6978, 4776624.8612, 4767037.4726, 4768994.5154, 1382672.4354, 1520074.3495, -376311.0341, -733582.214199997, -705451.817399997, 5617114.5358, 5700312.7399, -641734.818399999, -698620.1525, 6397976.8968, 6443765.075, 6416921.2367, 6277644.5892, 6464445.1754, 6539431.6443, 6735113.3875, 6891242.8749, -7300314.7755, 6782461.2406, 6823647.2055, 6776834.1241, 
6905629.07690001, 6713688.9742, 6622443.578, 6603359.1485, 6863476.8007, 6713438.5202, 6939315.8853, 6707662.3256, 6700193.3206, 7121576.5715, 6733409.5522, 6724770.3226, 6713223.8515, 7025283.6104, 6844491.8609, 7010550.9014, 6672788.1725, 7008323.85860001, 6853441.794, 6815527.2761, 6653089.0674, 7054681.7707, 6551665.3726, 6758231.1298, 6794052.422, 6721564.3116, 6801282.7392, 7028092.0472, 6754166.8402, 6694051.70630001, 6802277.4131, 7023944.8368, 6869894.0983, 6843946.4544, 6834208.066, 6859486.7989, 
6845273.6745, 6864843.694, 6791234.3475, 6799637.2745, 6834553.0693, 6896346.4794, 6863859.5074, 6847401.3186, 6834789.1326, -1093872.0931, 7045821.077, 7056865.8167, 7405052.0287, 7320231.0064, -1294185.4669, -1462302.9606, -1476668.85, -1682332.409, -2099525.7862, -2149709.2313, -2249672.6223, -2434032.1373, -5051893.0906, 6656676.887, -4701094.3382, -2395348.7905, -4529186.0106, 6778456.93, 6655824.1933, -2496572.0737, -2885967.3347, -2682113.7853)"
5.0–5.9,153,"c(-19978520.1446, -19878499.5821, -19863872.201, -19792193.5809, -19703115.7244, -19606089.6562, -19558099.8237, -19184522.7446, -18449212.9801, -16723838.7964, -15814993.0778, -14681337.6474, -14420037.4067, -12466291.2877, -11795290.793, -11785383.3583, -10684778.6848, -10485104.9142, -9370819.0752, -8884742.5187, -8627460.9116, -7956939.0907, -7866937.2824, -7863931.6562, -7822364.9583, -6934135.6093, -6644092.676, -6507915.543, -6489347.4519, -3778161.2536, -3102663.4515, -3004034.3827, -2999759.7143, 
-2990319.8214, -2986367.9795, -2954664.1885, -2915613.3112, -2861077.8926, -2805329.0916, -1901993.6877, -1793323.6008, -1362673.0187, 771510.8629, 3151599.4997, 3616113.4709, 3622135.8553, 5365376.8173, 5788646.9171, 7752378.3944, 7880406.9408, 7920660.0687, 8099650.6779, 10263245.169, 10305346.2004, 10441556.7294, 10681594.9474, 10769893.5675, 10783752.8441, 11123043.5201, 13426945.0974, 13429305.0706, 13476805.0973, 13563044.3068, 13592788.8748, 13624103.0475, 13671057.6087, 13702394.0454, 13776354.7151, 
13796659.3902, 13955178.3451, 14059139.6175, 14078319.9658, 14110457.9028, 14128781.091, 14132877.6482, 14144833.3615, 14146013.3481, 14160462.6181, 14175724.5202, 14220118.7332, 14232619.912, 14409974.1247, 14578945.9798, 14583042.5371, 14905946.984, 15081987.6267, 15474700.5264, 15481702.5223, 15482927.0367, 15486032.8505, 15811352.9304, 15927492.5552, 15933860.03, 15935596.6141, 15939893.5464, 15941785.9778, 15943188.6034, 15949511.5504, 15949979.0923, 15955500.539, 15961010.8538, 15962992.3408, 
15963905.1606, 15964751.1887, 15965608.3488, 15966309.6616, 15968469.2597, 15972955.4352, 15974892.3943, 15978009.3401, 15978387.8264, 15981137.4178, 15984009.4606, 15984955.6763, 15987827.7192, 16124405.6024, 16183705.4952, 16203498.1006, 16212303.4724, 16506932.7686, 16573390.5046, 16864869.4593, 16899812.6475, 16964756.4384, 17048602.2789, 17235919.586, 17329717.389, 17340738.0186, 17352938.6348, 17371584.6495, 17520908.6144, 17614639.6257, 17622354.0664, 17686885.9752, 17754534.8298, 17772490.6636, 
17781140.1881, 17795300.0273, 17815226.2161, 17819512.0165, 17821482.3715, 17840440.0808, 17856258.5804, 17864251.3199, 17865698.4733, 17883164.5014, 17920111.4404, 17942553.4497, 18001419.1964, 18343982.6655, 18634381.8211, 19906763.6009, 20034602.9041, -4257363.9759, -3997438.0453, -3167305.6891, -2101193.0098, 6670260.9056, 6715674.989, -1729304.1796, -1969502.4728, 7090204.9953, 8317994.3362, -7698357.5209, 11623605.4585, 5542007.93870001, 3245960.8805, -4186108.7821, -4209909.3906, -4432989.4586, 
2010329.3003, 1047214.0484, -403389.931499999, -5724724.4292, -3179267.2854, 1106910.024, 2105255.9804, -2691906.3264, -8413331.4075, 1867215.6378, 1556680.5435, -7188681.2609, 777784.013300002, -7558913.3515, -7504912.2911, -7426510.2875, -7525678.3435, -7482565.667, -8318280.5836, -7479707.9107, -8175525.3609, -7977596.9209, 9541312.9619, -1981896.3326, -5960145.5294, 12216840.3779, 4750504.1305, 4133780.1124, 4159750.6725, 5215812.4566, 3532800.7272, 4493005.6237, 4125759.6326, 4387256.0149, 4408777.7024, 
3074407.0083, 1500033.4511, 1403668.6031, 549818.742700003, -5661613.4296, -5669333.6084, 3621235.1096, 2117520.3543, 2652081.6954, 2381948.7201, 162521.777000003, 2783193.3019, -803606.943799999, 1078444.8228, -6267.28830000013, -989816.984899998, 1225949.5839, 526615.303100001, -445428.086399999, 990436.634200003, 721739.084400002, 789684.2927, 205698.407700002, 787452.0821, 774957.954200003, 683940.363700002, 774509.387300003, -843612.509799998, 454746.418000001, -325360.910399999, -699527.2619, 
5323973.7121, -595621.602699999, 4219165.4038, -243514.866099998, -248060.074199997, -235405.0944, -249174.1149, 4497798.17020001, 4749900.8169, 1389669.5082, 4771700.4662, 4804445.4945, 4796563.0801, 4836993.6935, 4792768.4509, 4787677.5351, 4783713.3131, 4792999.2618, 4771038.3046, 4792465.5196, 4788369.6325, 4779923.5389, 4773456.8451, 4786682.7286, 4782344.2183, 4812146.2234, 4765253.4415, 4779793.8761, 4765037.6527, 4756524.8779, 4805080.9776, 4773024.92020001, 1545023.029, 5308943.3544, -656001.567199998, 
5312626.3737, -742401.769299999, -642048.092799999, -419933.013999999, -702259.874199998, -600485.303599998, 5812264.4938, -746828.8884, -787205.310999997, 6402506.5293, 6398183.5186, 6429234.8187, 6511526.6721, 6763071.3667, 6523404.5005, 6917710.6826, 6714064.6696, 6690607.9983, 6705999.9694, 7016548.4518, 6836151.1715, 6856918.93870001, 6854934.4159, 6858557.9039, 6850730.2981, 6857647.3265, 6835878.7453, 6865536.3419, 6872557.3196, -1151074.4694, 7054532.4561, -5956106.4272, -1646825.6194, -2674073.0809, 
-2692840.9959)"
6.0+,29,"c(-7872224.9582, -7869352.9154, -6881837.7125, -6879433.2115, -6859696.2658, -6631502.4416, -6630545.094, 3142315.4542, 7512317.9125, 7880685.2395, 13798240.127, 13817709.9059, 14038423.0603, 14110246.3958, 14110335.4513, 14473760.1929, 15466529.6757, 15957281.6509, 15959118.4225, 15964417.2303, 16338027.7053, 16471822.6012, 17826124.3943, 17843824.1933, 17851739.0091, 17858162.1437, 17868214.2938, 18522338.7536, 19337553.6486, 1110096.7638, 1110661.8172, -8441243.284, -8443460.2126, -8378972.701, 
1866124.0995, 1869515.0095, 4755145.1052, 4382027.9351, 4124012.6889, -991247.8255, 1247499.15, 1091330.5644, 810900.743000001, 800431.6631, -752478.188499998, -241353.707699999, 4799608.4793, 4788672.4402, 4778511.7451, -756928.546799999, -337031.7797, 6822921.88, 7002313.9486, 6850675.7136, 6834516.7524, 7018740.6337, -1392895.0972, -2394871.7465)"
