state_guess,events,geometry
Alaska,32,"c(-146.841899999849, -151.137100000251, -153.202700000407, -153.943899999725, -152.703800000019, -153.416999999716, -150.7153000004, -150.948099999891, -150.232799999571, -147.692900000163, -149.694599999975, -151.242799999561, -156.693800000332, -154.904700000137, -157.391599999653, -159.809499999752, -160.100600000022, -160.143100000393, -160.202299999899, -176.996100000042, -176.124499999821, -175.252400000008, -165.732100000001, -168.364999999915, -171.404900000252, -171.42370000001, -171.385500000444, 
-171.409099999701, -171.471999999962, -171.355800000233, 178.218699999648, 174.793399999776, 64.4908000000788, 57.3463000001861, 58.8202999999197, 60.2262999998969, 60.0729000001386, 60.3031999998145, 61.0742999999857, 61.0207999998749, 59.6308000002008, 62.3087999999105, 62.1711999999951, 61.8835999998841, 58.979200000171, 57.7736000000798, 55.5918999999656, 54.588900000212, 54.5233000000156, 54.4269000000749, 54.7288000001264, 51.2760000001516, 51.530499999785, 51.5405999999502, 53.5756999998593, 
52.8565000001367, 52.0866999997776, 52.0586999998294, 52.1388999999225, 52.169900000172, 52.1886999999803, 52.0370999998377, 51.1947999998851, 51.1996000002502)"
Guam,6,"c(143.136299999701, 143.111900000378, 143.320499999664, 144.119300000152, 144.80670000041, 144.847999999784, 12.3860000004207, 12.6920000003417, 11.8141000001825, 12.3245999998051, 13.5276000001836, 13.7453999996687)"
Puerto Rico,6,"c(-65.9386666664804, -66.3986666667957, -66.0158333336901, -66.0656666671025, -67.8856666667094, -67.658333333439, 19.7179999997496, 18.6733333329705, 19.3588333333894, 17.8403333336102, 18.2014999995915, 19.2853333336872)"
CA,5,"c(-125.011001586803, -122.253999999633, -121.952500000299, -121.945000000128, -120.722500000081, 40.3883323672538, 37.8629999998453, 37.757500000064, 37.7609999999902, 35.4375000003528)"
Oregon,4,"c(-127.185100000076, -126.871399999733, -127.853899999694, -127.620300000136, 43.4569999999161, 43.4164000001024, 44.1039999999994, 43.3843000002787)"
U.S. Virgin Islands,2,"c(-64.3539999999072, -64.4214999996508, 18.7459999999078, 18.8315000000878)"
USA,2,"c(-129.537400000138, -129.82089999978, 44.4927000002539, 44.5970000002149)"
Wyoming,2,"c(-110.843333333371, -110.848000000424, 44.8028333333612, 44.7968333332232)"
New Mexico,1,"c(-104.45599999998, 31.6520000003619)"
Texas,1,"c(-102.043999999921, 32.4090000001344)"
